probe,log2FC,pval,padj,-log10padj,significance
ILMN_3876,527.5605936507945,3.6636229280221115e-07,0.0011600970846277429,2.9355056646060094,Upregulated
ILMN_22745,-554.3588790764779,6.760472521140692e-07,0.0011600970846277429,2.9355056646060094,Downregulated
ILMN_17156,208.61278210678233,5.475881752012834e-07,0.0011600970846277429,2.9355056646060094,Upregulated
ILMN_137433,-528.8771520923533,4.38773068133653e-06,0.005647009386880114,2.248181490345847,Downregulated
ILMN_21370,3157.444400288602,8.071241497562751e-06,0.005788590678978086,2.2374271590436745,Upregulated
ILMN_13075,220.9951705627708,6.5318834731707455e-06,0.005788590678978086,2.2374271590436745,Upregulated
ILMN_17603,-556.523440981241,8.995478910610856e-06,0.005788590678978086,2.2374271590436745,Downregulated
ILMN_14076,371.0918493506499,6.8159553491738e-06,0.005788590678978086,2.2374271590436745,Upregulated
ILMN_22286,4032.6667468975484,1.3112232641759268e-05,0.007500197071086301,2.124927325173514,Upregulated
ILMN_25187,-205.19969004329016,2.1505814773185215e-05,0.008144778449715638,2.0891207246611305,Downregulated
ILMN_16064,-694.0924640692638,2.211719787146338e-05,0.008144778449715638,2.0891207246611305,Downregulated
ILMN_1167,-521.92797835498,2.0591046089253534e-05,0.008144778449715638,2.0891207246611305,Downregulated
ILMN_18776,-215.45241240981272,2.1493347456643117e-05,0.008144778449715638,2.0891207246611305,Downregulated
ILMN_22997,-398.08452987012924,2.214974714374882e-05,0.008144778449715638,2.0891207246611305,Downregulated
ILMN_29169,-413.519851659451,2.9705654579034965e-05,0.010194980651524799,1.9916135941079096,Downregulated
ILMN_4153,192.07582712842736,3.326698558950104e-05,0.01070365261342196,1.970467994355971,Upregulated
ILMN_675,228.3790233766224,3.917274877179552e-05,0.01186243003983549,1.925826335863112,Upregulated
ILMN_21274,-351.00195815295797,4.241078889471968e-05,0.01212948562388983,1.9161576159053049,Downregulated
ILMN_16257,281.5975948051944,6.311646594072457e-05,0.015127182923025086,1.8202419414346176,Upregulated
ILMN_1868,-503.8724282828289,6.464608086762858e-05,0.015127182923025086,1.8202419414346176,Downregulated
ILMN_19460,147.32300490620537,6.137718383684244e-05,0.015127182923025086,1.8202419414346176,Upregulated
ILMN_14673,-198.81493679653659,5.9502478670986664e-05,0.015127182923025086,1.8202419414346176,Downregulated
ILMN_25767,411.77548946609,8.80802710987649e-05,0.019714662418106158,1.7052106551217703,Upregulated
ILMN_28470,-171.74280952380946,0.00011224230376165134,0.020011575248586374,1.6987187237155117,Downregulated
ILMN_12275,-348.57336132756143,0.00011148632238918749,0.020011575248586374,1.6987187237155117,Downregulated
ILMN_3366,-198.14481789321803,0.00010615082210815097,0.020011575248586374,1.6987187237155117,Downregulated
ILMN_29134,-223.63334141414157,9.945482845890318e-05,0.020011575248586374,1.6987187237155117,Downregulated
ILMN_29960,-312.9171922077928,0.0001139545096746233,0.020011575248586374,1.6987187237155117,Downregulated
ILMN_11167,255.3174271284272,0.00011661757137870848,0.020011575248586374,1.6987187237155117,Upregulated
ILMN_4848,411.3576444444452,0.00011088020272442088,0.020011575248586374,1.6987187237155117,Upregulated
