probe,log2FC,pval,padj,-log10padj,significance
210690_at,-1.7628840834901824,1.5763442792714946e-12,2.710225026361266e-10,9.566994648738225,Downregulated
202912_at,1.511935650225638,2.128574374677106e-12,3.5376906107133503e-10,9.451280151057523,Upregulated
204415_at,1.6620915554999804,2.493752006169551e-12,3.885577344612932e-10,9.41054444174067,Upregulated
202086_at,1.9507116699997322,2.423516263646218e-12,3.885577344612932e-10,9.41054444174067,Upregulated
215315_at,-1.6316424489995756,2.846425453509119e-12,4.30069009430196e-10,9.366461851373765,Downregulated
1570585_at,-1.4410243756196888,3.750989476064022e-12,5.500715743428004e-10,9.25958079719718,Downregulated
204066_s_at,-1.3995521249958989,3.9678335541635135e-12,5.652462314588366e-10,9.247762324448482,Downregulated
219863_at,1.5863292713118877,4.973179827497495e-12,6.887854061084031e-10,9.161916063229393,Upregulated
215349_at,-1.7305543558939371,7.147642792602131e-12,9.631931611868709e-10,9.01628660963001,Downregulated
1553132_a_at,-1.3139895014889298,9.412947223388026e-12,1.2350777593634922e-09,8.908305698761092,Downregulated
202241_at,1.3992023719850533,9.897512464844976e-12,1.265358901274796e-09,8.897786275487295,Upregulated
210119_at,1.986685773682881,1.7131529674145763e-11,2.135445173882269e-09,8.670511574312574,Upregulated
206697_s_at,1.570330389044333,2.030506814877594e-11,2.4105016616618297e-09,8.617892564803121,Upregulated
209369_at,2.6449892577170324,2.024846796347841e-11,2.4105016616618297e-09,8.617892564803121,Upregulated
213643_s_at,-1.2461479354082226,2.0856491965149893e-11,2.41838299856366e-09,8.616474918946325,Downregulated
241525_at,-3.067931673072903,2.2865584658268733e-11,2.591086479684725e-09,8.58651809182965,Downregulated
214453_s_at,1.8148168158489995,2.5599117331410757e-11,2.836382200320312e-09,8.547235248698334,Upregulated
1559528_at,-1.6547807173616782,2.8530527374085538e-11,3.092461075808489e-09,8.509695758042568,Downregulated
1553186_x_at,-1.4456810853924988,5.6804306878885596e-11,6.026090938257948e-09,8.219964318781875,Downregulated
200923_at,1.307210453359918,6.235819493508806e-11,6.096430587183315e-09,8.21492436663013,Upregulated
229450_at,2.2731292421321623,6.084699930744712e-11,6.096430587183315e-09,8.21492436663013,Upregulated
1570571_at,-1.5207471267679677,6.229781422915627e-11,6.096430587183315e-09,8.21492436663013,Downregulated
227609_at,1.3992821948578786,6.08274996483725e-11,6.096430587183315e-09,8.21492436663013,Upregulated
217184_s_at,-1.6868434222015054,6.83100171744593e-11,6.549879723689502e-09,8.183766674942195,Downregulated
201739_at,1.4771873741479862,7.375682543550511e-11,6.9387081438005375e-09,8.158721379436164,Upregulated
235046_at,-1.0954907026800935,8.376415274870584e-11,7.734223437130507e-09,8.111583285571573,Downregulated
232164_s_at,-1.087996261322191,9.292503901649772e-11,8.424077173386502e-09,8.074477663211175,Downregulated
206111_at,1.4331965466317413,1.0269987601942234e-10,9.143956818443569e-09,8.038865833526593,Upregulated
233827_s_at,-1.717151890302424,1.5884429177877232e-10,1.3894695417701032e-08,7.857150968847857,Downregulated
233868_x_at,-1.3464688333939945,1.7548050067944355e-10,1.508527200668458e-08,7.821446854535256,Downregulated
235957_at,-1.3350639645991667,1.8175251537486006e-10,1.53596278247297e-08,7.813619307457139,Downregulated
1565728_at,-1.1618279152155537,2.3583906017109113e-10,1.9226135279262547e-08,7.716108006222917,Downregulated
238736_at,-1.2899870394950774,2.4292950713869644e-10,1.9226135279262547e-08,7.716108006222917,Downregulated
202589_at,1.3465469219765183,2.3930969120323717e-10,1.9226135279262547e-08,7.716108006222917,Upregulated
215049_x_at,1.4740046525260002,2.3572817359202694e-10,1.9226135279262547e-08,7.716108006222917,Upregulated
209498_at,2.1744585574588235,4.3583661158944136e-10,3.395439602163992e-08,7.469103990327611,Upregulated
242625_at,1.9729828472975512,4.687768204429474e-10,3.595878810351593e-08,7.4441949534467255,Upregulated
235568_at,1.4941165298395482,4.86729113047294e-10,3.677017208566376e-08,7.434504337613343,Upregulated
206557_at,-1.1239725060571422,5.128931990194069e-10,3.8168440153891986e-08,7.418295588188172,Downregulated
232752_at,-1.1700898389362466,5.532589743510776e-10,4.0566900678154016e-08,7.391828171240513,Downregulated
218579_s_at,-1.0289228714423428,5.803523307278506e-10,4.1936764072595115e-08,7.37740508363782,Downregulated
219211_at,1.7197198596830487,6.262268617635132e-10,4.4605244753612525e-08,7.350614073269116,Upregulated
204351_at,3.001957042174528,6.804771266817825e-10,4.7786745825850246e-08,7.320692542988216,Upregulated
244255_at,-1.3885254777677485,7.896399641997032e-10,5.468256752082945e-08,7.262151102115368,Downregulated
225431_x_at,-1.101930358483088,9.282724625459992e-10,6.340228079800482e-08,7.19789511877172,Downregulated
1552399_a_at,-1.2025621431473077,9.450461332467682e-10,6.367567595092414e-08,7.1960264360746224,Downregulated
1560762_at,-1.6067452160980729,9.816732098594757e-10,6.526163499145794e-08,7.185342050087319,Downregulated
209189_at,2.284344378927072,1.0072501962185454e-09,6.569007043078996e-08,7.182500272495356,Upregulated
220404_at,1.3679341070306608,1.0144675938970771e-09,6.569007043078996e-08,7.182500272495356,Upregulated
219669_at,2.2704511863277608,1.080416906209098e-09,6.906357300459696e-08,7.160750957176254,Upregulated
201464_x_at,1.3028057649029936,1.1804967909419256e-09,7.450578480552456e-08,7.1278100062908365,Upregulated
214829_at,-1.5681744050991346,1.2943336253496957e-09,8.066934319991978e-08,7.093291479016027,Downregulated
206765_at,1.4984317399952083,1.4340809166765397e-09,8.827564753764479e-08,7.054159088027176,Upregulated
206404_at,-1.1548705480761576,1.5347245744515096e-09,9.331874058799058e-08,7.030031130994626,Downregulated
202768_at,2.849046964149668,1.5609892040630381e-09,9.377219483684709e-08,7.027925918753886,Upregulated
203153_at,1.9269853105085648,2.1757219626258415e-09,1.2914463935300532e-07,6.888923616186188,Upregulated
207384_at,3.1447105262455777,2.2434303316888017e-09,1.3159698392706314e-07,6.880754064208718,Upregulated
221345_at,2.446212397930207,2.2901211797382385e-09,1.327737697927309e-07,6.876887713819228,Upregulated
204748_at,2.413219188056612,2.5852019058493133e-09,1.481588126731572e-07,6.829272511031756,Upregulated
221868_at,-1.1809602233215042,2.789203118178602e-09,1.5803371303680127e-07,6.801250255931462,Downregulated
220828_s_at,-1.7116818997893999,2.9117172560079512e-09,1.631215981848949e-07,6.787488532206125,Downregulated
1558569_at,-1.3537514567420228,3.1521890207934637e-09,1.746312717519579e-07,6.757877983235069,Downregulated
210139_s_at,-1.3004674809266223,3.3229202285771777e-09,1.8206681604050337e-07,6.73976920260577,Downregulated
210473_s_at,-1.8851192420748903,3.556924509863631e-09,1.927698435454355e-07,6.714960905112505,Downregulated
207113_s_at,1.3973927343696193,3.6658735424988e-09,1.9653812347203244e-07,6.706553194868059,Upregulated
207229_at,-1.3672997649635148,4.367105192539343e-09,2.316424094680975e-07,6.635181926326918,Downregulated
223323_x_at,-1.6570501449105537,5.011959428022208e-09,2.630487337696708e-07,6.5799637844129855,Downregulated
206515_at,2.057812387200581,5.376748754666195e-09,2.7637597206974897e-07,6.558499716909709,Upregulated
239317_at,-1.0433148434793882,5.376408880670347e-09,2.7637597206974897e-07,6.558499716909709,Downregulated
226702_at,1.5698731809668622,5.4426440967206294e-09,2.7690840271682713e-07,6.5576638654960915,Upregulated
201785_at,2.5648954683928222,5.514076494699001e-09,2.777089434602951e-07,6.556410133815057,Upregulated
207850_at,1.8996863624160216,5.6495865249695915e-09,2.816883841349838e-07,6.550231061463253,Upregulated
204141_at,1.4703396541102096,5.757837312416486e-09,2.842433350466198e-07,6.546309709881778,Upregulated
220945_x_at,1.2702448338522085,5.93087995731854e-09,2.899153673253945e-07,6.537728763714554,Upregulated
1569003_at,1.3189504480627683,6.128012320615619e-09,2.937910522172065e-07,6.53196143533905,Upregulated
231688_at,2.4000274391719865,6.110229428027065e-09,2.937910522172065e-07,6.53196143533905,Upregulated
206522_at,1.5222772176721193,6.700185036033195e-09,3.181630722824906e-07,6.497350228317995,Upregulated
1554949_at,1.2095691543896274,7.139724835795839e-09,3.326978320680192e-07,6.477950029079972,Upregulated
221397_at,-1.1505195264717978,7.114800799510367e-09,3.326978320680192e-07,6.477950029079972,Downregulated
202145_at,1.3320650646781598,8.84853638096872e-09,4.085074295880559e-07,6.388800040478558,Upregulated
219975_x_at,1.405024309666019,9.566915802652133e-09,4.3762057056902326e-07,6.358902271970222,Upregulated
1556709_a_at,-1.2773039479018822,1.0123192183628826e-08,4.5885669297793933e-07,6.3383229292049545,Downregulated
222068_s_at,1.3292460304494869,1.0491809006800814e-08,4.6949694661172333e-07,6.328367227836617,Upregulated
223767_at,1.511077755588408,1.054626113528139e-08,4.6949694661172333e-07,6.328367227836617,Upregulated
204900_x_at,0.9872215695023723,1.1423225767218223e-08,5.040372006668147e-07,6.29753740909395,Upregulated
205249_at,1.7200307829925965,1.2561929917915236e-08,5.4941914535724e-07,6.260096210990936,Upregulated
224277_at,1.8991294774657348,1.3513501868312821e-08,5.858984375252845e-07,6.232177660168028,Upregulated
1552320_a_at,-1.1144839615842734,1.428017180141118e-08,6.138011776020357e-07,6.211972282692115,Downregulated
226189_at,-1.9525033134924694,1.4490293847542001e-08,6.169987883969709e-07,6.209715688791761,Downregulated
1559180_at,-1.674508512959557,1.4602057166233969e-08,6.169987883969709e-07,6.209715688791761,Downregulated
204007_at,1.9589687116634042,1.517565384745277e-08,6.358471435579791e-07,6.1966472753705055,Upregulated
210711_at,-1.5205173606983253,1.6113177168198976e-08,6.695025113386674e-07,6.174247789587775,Downregulated
205040_at,1.4254813910860884,1.6536286464695416e-08,6.814043331650524e-07,6.1665951090075195,Upregulated
207008_at,1.780541157604759,1.9308500720943134e-08,7.891162671690366e-07,6.102859003799593,Upregulated
226754_at,-0.9317338049296362,2.295885450209784e-08,9.231681334472567e-07,6.0347191952053185,Downregulated
204126_s_at,1.4856421660982164,2.2885955913804544e-08,9.231681334472567e-07,6.0347191952053185,Upregulated
204140_at,1.030592128205468,2.318847807854919e-08,9.249420135971699e-07,6.033885493168156,Upregulated
204439_at,2.359708664461671,2.423202972535186e-08,9.58896033417495e-07,6.018228477877057,Upregulated
209771_x_at,1.150342168657902,2.9504293047753165e-08,1.1583338987094275e-06,5.936166233816847,Upregulated
226757_at,1.4381245537435046,3.018949056159027e-08,1.175974999531946e-06,5.929601910981591,Upregulated
228617_at,0.9929006587699316,3.048724905683522e-08,1.1783676263362824e-06,5.9287191975101665,Upregulated
1553396_a_at,2.530728578407711,3.122851236492926e-08,1.1885905545918878e-06,5.924967725285046,Upregulated
228648_at,1.8551228154796142,3.1056588498314075e-08,1.1885905545918878e-06,5.924967725285046,Upregulated
236228_at,-1.6314191653692642,3.292583864961931e-08,1.2343476053158035e-06,5.908562521168141,Downregulated
208978_at,-1.1028852276855199,3.280576502780131e-08,1.2343476053158035e-06,5.908562521168141,Downregulated
212531_at,1.9625017347280664,3.3427093993074396e-08,1.2437872436527533e-06,5.905253901646653,Upregulated
204176_at,-0.9878428936597796,3.4231433392839964e-08,1.2642809399755561e-06,5.898156409341663,Downregulated
203780_at,-1.0985125668665612,3.456638618572827e-08,1.267264717073832e-06,5.897132656500819,Downregulated
231851_at,-1.2904667688690168,3.632536849222306e-08,1.322031294176819e-06,5.878758264421142,Downregulated
222529_at,1.3563252112034618,3.8580031048210414e-08,1.393913295698385e-06,5.8557642394165175,Upregulated
201445_at,-1.3557845989607538,4.148076256364786e-08,1.4879358427507066e-06,5.827415794421887,Downregulated
221170_at,-1.294292895663589,5.060701785790016e-08,1.8023327931392157e-06,5.744165015310503,Downregulated
209975_at,-1.1328916858823073,5.213120466924226e-08,1.8434481310698006e-06,5.734369077589775,Downregulated
223605_at,-1.5284178884324389,5.5562816480190866e-08,1.9373161046869344e-06,5.712799511278468,Downregulated
207324_s_at,-2.1724149446234335,5.51917647638615e-08,1.9373161046869344e-06,5.712799511278468,Downregulated
207094_at,2.933424445597433,5.739889486677574e-08,1.9874367347621097e-06,5.701706687165086,Upregulated
203435_s_at,3.022499565387454,6.072795484080298e-08,2.0882040195603013e-06,5.680227072604295,Upregulated
225353_s_at,2.6095645057849906,6.301435671015231e-08,2.151983442169996e-06,5.667161074549267,Upregulated
213920_at,-1.321479775286062,6.881474961918102e-08,2.334083956470997e-06,5.631883526535591,Downregulated
238214_at,-1.520090907169367,7.259235158013973e-08,2.429164194487092e-06,5.61454312893729,Downregulated
211163_s_at,1.4532287347433943,7.213349635089977e-08,2.429164194487092e-06,5.61454312893729,Upregulated
210517_s_at,-1.4484023843711027,7.75698391994714e-08,2.5784214549904295e-06,5.588646093725482,Downregulated
211734_s_at,-1.7905188895724553,7.93756150136004e-08,2.6209722944225933e-06,5.581537569836681,Downregulated
1554176_a_at,-0.9671828287183635,8.336827689164659e-08,2.732155914343812e-06,5.563494520654096,Downregulated
243296_at,1.9416409429670303,8.383871939322167e-08,2.732155914343812e-06,5.563494520654096,Upregulated
1557545_s_at,-1.184545366196578,8.58748604705857e-08,2.780338014976236e-06,5.555902402241904,Downregulated
208168_s_at,2.168736476368,8.980538615011713e-08,2.8888364860934453e-06,5.53927703939396,Upregulated
215005_at,1.098703942740908,9.999794454444795e-08,3.196088150632163e-06,5.495381251008491,Upregulated
228463_at,-1.02849295507224,1.3225059572372544e-07,4.200009364831178e-06,5.376749741247345,Downregulated
243916_x_at,-0.9577353977676086,1.53047368594443e-07,4.829709998809447e-06,5.316078945790507,Downregulated
223552_at,1.7145713958888837,1.5583722705253293e-07,4.8868202143643345e-06,5.310973638329257,Upregulated
220421_at,2.0621489199923326,1.5846824708698783e-07,4.922843914964192e-06,5.307783933868597,Upregulated
